"produto_id","nome_produto","categoria_produto","preco_produto","fornecedor_id","nome_fornecedor","endereco_fornecedor","telefone_fornecedor","loja_id","nome_loja","endereco_loja","cidade_loja","quantidade_estoque","data_estoque"
172,"Produto 172","Categoria 3",1720.0,23,"Fornecedor 23","Endereço 3","Telefone 3",1,"Loja 1","Endereço 1","Cidade 1",22,"2023-01-07"
173,"Produto 173","Categoria 4",1730.0,24,"Fornecedor 24","Endereço 4","Telefone 4",2,"Loja 2","Endereço 2","Cidade 2",23,"2023-01-06"
174,"Produto 174","Categoria 5",1740.0,25,"Fornecedor 25","Endereço 5","Telefone 5",3,"Loja 3","Endereço 3","Cidade 3",24,"2023-01-05"
175,"Produto 175","Categoria 1",1750.0,26,"Fornecedor 26","Endereço 6","Telefone 6",4,"Loja 4","Endereço 4","Cidade 4",25,"2023-01-04"
176,"Produto 176","Categoria 2",1760.0,27,"Fornecedor 27","Endereço 7","Telefone 7",1,"Loja 1","Endereço 1","Cidade 1",26,"2023-01-03"
177,"Produto 177","Categoria 3",1770.0,28,"Fornecedor 28","Endereço 8","Telefone 8",2,"Loja 2","Endereço 2","Cidade 2",27,"2023-01-02"
178,"Produto 178","Categoria 4",1780.0,29,"Fornecedor 29","Endereço 9","Telefone 9",3,"Loja 3","Endereço 3","Cidade 3",28,"2023-01-01"
179,"Produto 179","Categoria 5",1790.0,30,"Fornecedor 30","Endereço 10","Telefone 10",4,"Loja 4","Endereço 4","Cidade 4",29,"2022-12-31"
180,"Produto 180","Categoria 1",1800.0,1,"Fornecedor 1","Endereço 1","Telefone 1",1,"Loja 1","Endereço 1","Cidade 1",30,"2022-12-30"
181,"Produto 181","Categoria 2",1810.0,2,"Fornecedor 2","Endereço 2","Telefone 2",2,"Loja 2","Endereço 2","Cidade 2",31,"2022-12-29"
182,"Produto 182","Categoria 3",1820.0,3,"Fornecedor 3","Endereço 3","Telefone 3",3,"Loja 3","Endereço 3","Cidade 3",32,"2022-12-28"
183,"Produto 183","Categoria 4",1830.0,4,"Fornecedor 4","Endereço 4","Telefone 4",4,"Loja 4","Endereço 4","Cidade 4",33,"2022-12-27"
184,"Produto 184","Categoria 5",1840.0,5,"Fornecedor 5","Endereço 5","Telefone 5",1,"Loja 1","Endereço 1","Cidade 1",34,"2022-12-26"
185,"Produto 185","Categoria 1",1850.0,6,"Fornecedor 6","Endereço 6","Telefone 6",2,"Loja 2","Endereço 2","Cidade 2",35,"2022-12-25"
186,"Produto 186","Categoria 2",1860.0,7,"Fornecedor 7","Endereço 7","Telefone 7",3,"Loja 3","Endereço 3","Cidade 3",36,"2022-12-24"
187,"Produto 187","Categoria 3",1870.0,8,"Fornecedor 8","Endereço 8","Telefone 8",4,"Loja 4","Endereço 4","Cidade 4",37,"2022-12-23"
188,"Produto 188","Categoria 4",1880.0,9,"Fornecedor 9","Endereço 9","Telefone 9",1,"Loja 1","Endereço 1","Cidade 1",38,"2022-12-22"
189,"Produto 189","Categoria 5",1890.0,10,"Fornecedor 10","Endereço 10","Telefone 10",2,"Loja 2","Endereço 2","Cidade 2",39,"2022-12-21"
190,"Produto 190","Categoria 1",1900.0,11,"Fornecedor 11","Endereço 1","Telefone 1",3,"Loja 3","Endereço 3","Cidade 3",40,"2022-12-20"
191,"Produto 191","Categoria 2",1910.0,12,"Fornecedor 12","Endereço 2","Telefone 2",4,"Loja 4","Endereço 4","Cidade 4",41,"2022-12-19"
192,"Produto 192","Categoria 3",1920.0,13,"Fornecedor 13","Endereço 3","Telefone 3",1,"Loja 1","Endereço 1","Cidade 1",42,"2022-12-18"
193,"Produto 193","Categoria 4",1930.0,14,"Fornecedor 14","Endereço 4","Telefone 4",2,"Loja 2","Endereço 2","Cidade 2",43,"2022-12-17"
194,"Produto 194","Categoria 5",1940.0,15,"Fornecedor 15","Endereço 5","Telefone 5",3,"Loja 3","Endereço 3","Cidade 3",44,"2022-12-16"
195,"Produto 195","Categoria 1",1950.0,16,"Fornecedor 16","Endereço 6","Telefone 6",4,"Loja 4","Endereço 4","Cidade 4",45,"2022-12-15"
196,"Produto 196","Categoria 2",1960.0,17,"Fornecedor 17","Endereço 7","Telefone 7",1,"Loja 1","Endereço 1","Cidade 1",46,"2022-12-14"
197,"Produto 197","Categoria 3",1970.0,18,"Fornecedor 18","Endereço 8","Telefone 8",2,"Loja 2","Endereço 2","Cidade 2",47,"2022-12-13"
198,"Produto 198","Categoria 4",1980.0,19,"Fornecedor 19","Endereço 9","Telefone 9",3,"Loja 3","Endereço 3","Cidade 3",48,"2022-12-12"
199,"Produto 199","Categoria 5",1990.0,20,"Fornecedor 20","Endereço 10","Telefone 10",4,"Loja 4","Endereço 4","Cidade 4",49,"2022-12-11"
200,"Produto 200","Categoria 1",2000.0,21,"Fornecedor 21","Endereço 1","Telefone 1",1,"Loja 1","Endereço 1","Cidade 1",0,"2022-12-10"
201,"Produto 201","Categoria 2",2010.0,22,"Fornecedor 22","Endereço 2","Telefone 2",2,"Loja 2","Endereço 2","Cidade 2",1,"2022-12-09"
202,"Produto 202","Categoria 3",2020.0,23,"Fornecedor 23","Endereço 3","Telefone 3",3,"Loja 3","Endereço 3","Cidade 3",2,"2022-12-08"
203,"Produto 203","Categoria 4",2030.0,24,"Fornecedor 24","Endereço 4","Telefone 4",4,"Loja 4","Endereço 4","Cidade 4",3,"2022-12-07"
204,"Produto 204","Categoria 5",2040.0,25,"Fornecedor 25","Endereço 5","Telefone 5",1,"Loja 1","Endereço 1","Cidade 1",4,"2022-12-06"
205,"Produto 205","Categoria 1",2050.0,26,"Fornecedor 26","Endereço 6","Telefone 6",2,"Loja 2","Endereço 2","Cidade 2",5,"2022-12-05"
206,"Produto 206","Categoria 2",2060.0,27,"Fornecedor 27","Endereço 7","Telefone 7",3,"Loja 3","Endereço 3","Cidade 3",6,"2022-12-04"
207,"Produto 207","Categoria 3",2070.0,28,"Fornecedor 28","Endereço 8","Telefone 8",4,"Loja 4","Endereço 4","Cidade 4",7,"2022-12-03"
208,"Produto 208","Categoria 4",2080.0,29,"Fornecedor 29","Endereço 9","Telefone 9",1,"Loja 1","Endereço 1","Cidade 1",8,"2022-12-02"
209,"Produto 209","Categoria 5",2090.0,30,"Fornecedor 30","Endereço 10","Telefone 10",2,"Loja 2","Endereço 2","Cidade 2",9,"2022-12-01"
210,"Produto 210","Categoria 1",2100.0,1,"Fornecedor 1","Endereço 1","Telefone 1",3,"Loja 3","Endereço 3","Cidade 3",10,"2022-11-30"
211,"Produto 211","Categoria 2",2110.0,2,"Fornecedor 2","Endereço 2","Telefone 2",4,"Loja 4","Endereço 4","Cidade 4",11,"2022-11-29"
212,"Produto 212","Categoria 3",2120.0,3,"Fornecedor 3","Endereço 3","Telefone 3",1,"Loja 1","Endereço 1","Cidade 1",12,"2022-11-28"
213,"Produto 213","Categoria 4",2130.0,4,"Fornecedor 4","Endereço 4","Telefone 4",2,"Loja 2","Endereço 2","Cidade 2",13,"2022-11-27"
214,"Produto 214","Categoria 5",2140.0,5,"Fornecedor 5","Endereço 5","Telefone 5",3,"Loja 3","Endereço 3","Cidade 3",14,"2022-11-26"
215,"Produto 215","Categoria 1",2150.0,6,"Fornecedor 6","Endereço 6","Telefone 6",4,"Loja 4","Endereço 4","Cidade 4",15,"2022-11-25"
216,"Produto 216","Categoria 2",2160.0,7,"Fornecedor 7","Endereço 7","Telefone 7",1,"Loja 1","Endereço 1","Cidade 1",16,"2022-11-24"
217,"Produto 217","Categoria 3",2170.0,8,"Fornecedor 8","Endereço 8","Telefone 8",2,"Loja 2","Endereço 2","Cidade 2",17,"2022-11-23"
218,"Produto 218","Categoria 4",2180.0,9,"Fornecedor 9","Endereço 9","Telefone 9",3,"Loja 3","Endereço 3","Cidade 3",18,"2022-11-22"
219,"Produto 219","Categoria 5",2190.0,10,"Fornecedor 10","Endereço 10","Telefone 10",4,"Loja 4","Endereço 4","Cidade 4",19,"2022-11-21"
220,"Produto 220","Categoria 1",2200.0,11,"Fornecedor 11","Endereço 1","Telefone 1",1,"Loja 1","Endereço 1","Cidade 1",20,"2022-11-20"
221,"Produto 221","Categoria 2",2210.0,12,"Fornecedor 12","Endereço 2","Telefone 2",2,"Loja 2","Endereço 2","Cidade 2",21,"2022-11-19"
222,"Produto 222","Categoria 3",2220.0,13,"Fornecedor 13","Endereço 3","Telefone 3",3,"Loja 3","Endereço 3","Cidade 3",22,"2022-11-18"
223,"Produto 223","Categoria 4",2230.0,14,"Fornecedor 14","Endereço 4","Telefone 4",4,"Loja 4","Endereço 4","Cidade 4",23,"2022-11-17"
224,"Produto 224","Categoria 5",2240.0,15,"Fornecedor 15","Endereço 5","Telefone 5",1,"Loja 1","Endereço 1","Cidade 1",24,"2022-11-16"
225,"Produto 225","Categoria 1",2250.0,16,"Fornecedor 16","Endereço 6","Telefone 6",2,"Loja 2","Endereço 2","Cidade 2",25,"2022-11-15"
226,"Produto 226","Categoria 2",2260.0,17,"Fornecedor 17","Endereço 7","Telefone 7",3,"Loja 3","Endereço 3","Cidade 3",26,"2022-11-14"
227,"Produto 227","Categoria 3",2270.0,18,"Fornecedor 18","Endereço 8","Telefone 8",4,"Loja 4","Endereço 4","Cidade 4",27,"2022-11-13"
228,"Produto 228","Categoria 4",2280.0,19,"Fornecedor 19","Endereço 9","Telefone 9",1,"Loja 1","Endereço 1","Cidade 1",28,"2022-11-12"
229,"Produto 229","Categoria 5",2290.0,20,"Fornecedor 20","Endereço 10","Telefone 10",2,"Loja 2","Endereço 2","Cidade 2",29,"2022-11-11"
230,"Produto 230","Categoria 1",2300.0,21,"Fornecedor 21","Endereço 1","Telefone 1",3,"Loja 3","Endereço 3","Cidade 3",30,"2022-11-10"
231,"Produto 231","Categoria 2",2310.0,22,"Fornecedor 22","Endereço 2","Telefone 2",4,"Loja 4","Endereço 4","Cidade 4",31,"2022-11-09"
232,"Produto 232","Categoria 3",2320.0,23,"Fornecedor 23","Endereço 3","Telefone 3",1,"Loja 1","Endereço 1","Cidade 1",32,"2022-11-08"
233,"Produto 233","Categoria 4",2330.0,24,"Fornecedor 24","Endereço 4","Telefone 4",2,"Loja 2","Endereço 2","Cidade 2",33,"2022-11-07"
234,"Produto 234","Categoria 5",2340.0,25,"Fornecedor 25","Endereço 5","Telefone 5",3,"Loja 3","Endereço 3","Cidade 3",34,"2022-11-06"
235,"Produto 235","Categoria 1",2350.0,26,"Fornecedor 26","Endereço 6","Telefone 6",4,"Loja 4","Endereço 4","Cidade 4",35,"2022-11-05"
236,"Produto 236","Categoria 2",2360.0,27,"Fornecedor 27","Endereço 7","Telefone 7",1,"Loja 1","Endereço 1","Cidade 1",36,"2022-11-04"
237,"Produto 237","Categoria 3",2370.0,28,"Fornecedor 28","Endereço 8","Telefone 8",2,"Loja 2","Endereço 2","Cidade 2",37,"2022-11-03"
238,"Produto 238","Categoria 4",2380.0,29,"Fornecedor 29","Endereço 9","Telefone 9",3,"Loja 3","Endereço 3","Cidade 3",38,"2022-11-02"
239,"Produto 239","Categoria 5",2390.0,30,"Fornecedor 30","Endereço 10","Telefone 10",4,"Loja 4","Endereço 4","Cidade 4",39,"2022-11-01"
240,"Produto 240","Categoria 1",2400.0,1,"Fornecedor 1","Endereço 1","Telefone 1",1,"Loja 1","Endereço 1","Cidade 1",40,"2022-10-31"
241,"Produto 241","Categoria 2",2410.0,2,"Fornecedor 2","Endereço 2","Telefone 2",2,"Loja 2","Endereço 2","Cidade 2",41,"2022-10-30"
242,"Produto 242","Categoria 3",2420.0,3,"Fornecedor 3","Endereço 3","Telefone 3",3,"Loja 3","Endereço 3","Cidade 3",42,"2022-10-29"
243,"Produto 243","Categoria 4",2430.0,4,"Fornecedor 4","Endereço 4","Telefone 4",4,"Loja 4","Endereço 4","Cidade 4",43,"2022-10-28"
244,"Produto 244","Categoria 5",2440.0,5,"Fornecedor 5","Endereço 5","Telefone 5",1,"Loja 1","Endereço 1","Cidade 1",44,"2022-10-27"
245,"Produto 245","Categoria 1",2450.0,6,"Fornecedor 6","Endereço 6","Telefone 6",2,"Loja 2","Endereço 2","Cidade 2",45,"2022-10-26"
246,"Produto 246","Categoria 2",2460.0,7,"Fornecedor 7","Endereço 7","Telefone 7",3,"Loja 3","Endereço 3","Cidade 3",46,"2022-10-25"
247,"Produto 247","Categoria 3",2470.0,8,"Fornecedor 8","Endereço 8","Telefone 8",4,"Loja 4","Endereço 4","Cidade 4",47,"2022-10-24"
248,"Produto 248","Categoria 4",2480.0,9,"Fornecedor 9","Endereço 9","Telefone 9",1,"Loja 1","Endereço 1","Cidade 1",48,"2022-10-23"
249,"Produto 249","Categoria 5",2490.0,10,"Fornecedor 10","Endereço 10","Telefone 10",2,"Loja 2","Endereço 2","Cidade 2",49,"2022-10-22"
250,"Produto 250","Categoria 1",2500.0,11,"Fornecedor 11","Endereço 1","Telefone 1",3,"Loja 3","Endereço 3","Cidade 3",0,"2022-10-21"
251,"Produto 251","Categoria 2",2510.0,12,"Fornecedor 12","Endereço 2","Telefone 2",4,"Loja 4","Endereço 4","Cidade 4",1,"2022-10-20"
252,"Produto 252","Categoria 3",2520.0,13,"Fornecedor 13","Endereço 3","Telefone 3",1,"Loja 1","Endereço 1","Cidade 1",2,"2022-10-19"
253,"Produto 253","Categoria 4",2530.0,14,"Fornecedor 14","Endereço 4","Telefone 4",2,"Loja 2","Endereço 2","Cidade 2",3,"2022-10-18"
254,"Produto 254","Categoria 5",2540.0,15,"Fornecedor 15","Endereço 5","Telefone 5",3,"Loja 3","Endereço 3","Cidade 3",4,"2022-10-17"
255,"Produto 255","Categoria 1",2550.0,16,"Fornecedor 16","Endereço 6","Telefone 6",4,"Loja 4","Endereço 4","Cidade 4",5,"2022-10-16"
256,"Produto 256","Categoria 2",2560.0,17,"Fornecedor 17","Endereço 7","Telefone 7",1,"Loja 1","Endereço 1","Cidade 1",6,"2022-10-15"
257,"Produto 257","Categoria 3",2570.0,18,"Fornecedor 18","Endereço 8","Telefone 8",2,"Loja 2","Endereço 2","Cidade 2",7,"2022-10-14"
258,"Produto 258","Categoria 4",2580.0,19,"Fornecedor 19","Endereço 9","Telefone 9",3,"Loja 3","Endereço 3","Cidade 3",8,"2022-10-13"
259,"Produto 259","Categoria 5",2590.0,20,"Fornecedor 20","Endereço 10","Telefone 10",4,"Loja 4","Endereço 4","Cidade 4",9,"2022-10-12"
260,"Produto 260","Categoria 1",2600.0,21,"Fornecedor 21","Endereço 1","Telefone 1",1,"Loja 1","Endereço 1","Cidade 1",10,"2022-10-11"
261,"Produto 261","Categoria 2",2610.0,22,"Fornecedor 22","Endereço 2","Telefone 2",2,"Loja 2","Endereço 2","Cidade 2",11,"2022-10-10"
262,"Produto 262","Categoria 3",2620.0,23,"Fornecedor 23","Endereço 3","Telefone 3",3,"Loja 3","Endereço 3","Cidade 3",12,"2022-10-09"
263,"Produto 263","Categoria 4",2630.0,24,"Fornecedor 24","Endereço 4","Telefone 4",4,"Loja 4","Endereço 4","Cidade 4",13,"2022-10-08"
264,"Produto 264","Categoria 5",2640.0,25,"Fornecedor 25","Endereço 5","Telefone 5",1,"Loja 1","Endereço 1","Cidade 1",14,"2022-10-07"
265,"Produto 265","Categoria 1",2650.0,26,"Fornecedor 26","Endereço 6","Telefone 6",2,"Loja 2","Endereço 2","Cidade 2",15,"2022-10-06"
266,"Produto 266","Categoria 2",2660.0,27,"Fornecedor 27","Endereço 7","Telefone 7",3,"Loja 3","Endereço 3","Cidade 3",16,"2022-10-05"
267,"Produto 267","Categoria 3",2670.0,28,"Fornecedor 28","Endereço 8","Telefone 8",4,"Loja 4","Endereço 4","Cidade 4",17,"2022-10-04"
268,"Produto 268","Categoria 4",2680.0,29,"Fornecedor 29","Endereço 9","Telefone 9",1,"Loja 1","Endereço 1","Cidade 1",18,"2022-10-03"
269,"Produto 269","Categoria 5",2690.0,30,"Fornecedor 30","Endereço 10","Telefone 10",2,"Loja 2","Endereço 2","Cidade 2",19,"2022-10-02"
270,"Produto 270","Categoria 1",2700.0,1,"Fornecedor 1","Endereço 1","Telefone 1",3,"Loja 3","Endereço 3","Cidade 3",20,"2022-10-01"
271,"Produto 271","Categoria 2",2710.0,2,"Fornecedor 2","Endereço 2","Telefone 2",4,"Loja 4","Endereço 4","Cidade 4",21,"2022-09-30"
272,"Produto 272","Categoria 3",2720.0,3,"Fornecedor 3","Endereço 3","Telefone 3",1,"Loja 1","Endereço 1","Cidade 1",22,"2022-09-29"
273,"Produto 273","Categoria 4",2730.0,4,"Fornecedor 4","Endereço 4","Telefone 4",2,"Loja 2","Endereço 2","Cidade 2",23,"2022-09-28"
274,"Produto 274","Categoria 5",2740.0,5,"Fornecedor 5","Endereço 5","Telefone 5",3,"Loja 3","Endereço 3","Cidade 3",24,"2022-09-27"
275,"Produto 275","Categoria 1",2750.0,6,"Fornecedor 6","Endereço 6","Telefone 6",4,"Loja 4","Endereço 4","Cidade 4",25,"2022-09-26"
276,"Produto 276","Categoria 2",2760.0,7,"Fornecedor 7","Endereço 7","Telefone 7",1,"Loja 1","Endereço 1","Cidade 1",26,"2022-09-25"
277,"Produto 277","Categoria 3",2770.0,8,"Fornecedor 8","Endereço 8","Telefone 8",2,"Loja 2","Endereço 2","Cidade 2",27,"2022-09-24"
278,"Produto 278","Categoria 4",2780.0,9,"Fornecedor 9","Endereço 9","Telefone 9",3,"Loja 3","Endereço 3","Cidade 3",28,"2022-09-23"
279,"Produto 279","Categoria 5",2790.0,10,"Fornecedor 10","Endereço 10","Telefone 10",4,"Loja 4","Endereço 4","Cidade 4",29,"2022-09-22"
280,"Produto 280","Categoria 1",2800.0,11,"Fornecedor 11","Endereço 1","Telefone 1",1,"Loja 1","Endereço 1","Cidade 1",30,"2022-09-21"
281,"Produto 281","Categoria 2",2810.0,12,"Fornecedor 12","Endereço 2","Telefone 2",2,"Loja 2","Endereço 2","Cidade 2",31,"2022-09-20"
282,"Produto 282","Categoria 3",2820.0,13,"Fornecedor 13","Endereço 3","Telefone 3",3,"Loja 3","Endereço 3","Cidade 3",32,"2022-09-19"
283,"Produto 283","Categoria 4",2830.0,14,"Fornecedor 14","Endereço 4","Telefone 4",4,"Loja 4","Endereço 4","Cidade 4",33,"2022-09-18"
284,"Produto 284","Categoria 5",2840.0,15,"Fornecedor 15","Endereço 5","Telefone 5",1,"Loja 1","Endereço 1","Cidade 1",34,"2022-09-17"
285,"Produto 285","Categoria 1",2850.0,16,"Fornecedor 16","Endereço 6","Telefone 6",2,"Loja 2","Endereço 2","Cidade 2",35,"2022-09-16"
286,"Produto 286","Categoria 2",2860.0,17,"Fornecedor 17","Endereço 7","Telefone 7",3,"Loja 3","Endereço 3","Cidade 3",36,"2022-09-15"
287,"Produto 287","Categoria 3",2870.0,18,"Fornecedor 18","Endereço 8","Telefone 8",4,"Loja 4","Endereço 4","Cidade 4",37,"2022-09-14"
288,"Produto 288","Categoria 4",2880.0,19,"Fornecedor 19","Endereço 9","Telefone 9",1,"Loja 1","Endereço 1","Cidade 1",38,"2022-09-13"
289,"Produto 289","Categoria 5",2890.0,20,"Fornecedor 20","Endereço 10","Telefone 10",2,"Loja 2","Endereço 2","Cidade 2",39,"2022-09-12"
290,"Produto 290","Categoria 1",2900.0,21,"Fornecedor 21","Endereço 1","Telefone 1",3,"Loja 3","Endereço 3","Cidade 3",40,"2022-09-11"
291,"Produto 291","Categoria 2",2910.0,22,"Fornecedor 22","Endereço 2","Telefone 2",4,"Loja 4","Endereço 4","Cidade 4",41,"2022-09-10"
292,"Produto 292","Categoria 3",2920.0,23,"Fornecedor 23","Endereço 3","Telefone 3",1,"Loja 1","Endereço 1","Cidade 1",42,"2022-09-09"
293,"Produto 293","Categoria 4",2930.0,24,"Fornecedor 24","Endereço 4","Telefone 4",2,"Loja 2","Endereço 2","Cidade 2",43,"2022-09-08"
294,"Produto 294","Categoria 5",2940.0,25,"Fornecedor 25","Endereço 5","Telefone 5",3,"Loja 3","Endereço 3","Cidade 3",44,"2022-09-07"
295,"Produto 295","Categoria 1",2950.0,26,"Fornecedor 26","Endereço 6","Telefone 6",4,"Loja 4","Endereço 4","Cidade 4",45,"2022-09-06"
296,"Produto 296","Categoria 2",2960.0,27,"Fornecedor 27","Endereço 7","Telefone 7",1,"Loja 1","Endereço 1","Cidade 1",46,"2022-09-05"
297,"Produto 297","Categoria 3",2970.0,28,"Fornecedor 28","Endereço 8","Telefone 8",2,"Loja 2","Endereço 2","Cidade 2",47,"2022-09-04"
298,"Produto 298","Categoria 4",2980.0,29,"Fornecedor 29","Endereço 9","Telefone 9",3,"Loja 3","Endereço 3","Cidade 3",48,"2022-09-03"
299,"Produto 299","Categoria 5",2990.0,30,"Fornecedor 30","Endereço 10","Telefone 10",4,"Loja 4","Endereço 4","Cidade 4",49,"2022-09-02"
300,"Produto 300","Categoria 1",3000.0,1,"Fornecedor 1","Endereço 1","Telefone 1",1,"Loja 1","Endereço 1","Cidade 1",0,"2022-09-01"
301,"Produto 301","Categoria 2",3010.0,2,"Fornecedor 2","Endereço 2","Telefone 2",2,"Loja 2","Endereço 2","Cidade 2",1,"2022-08-31"
302,"Produto 302","Categoria 3",3020.0,3,"Fornecedor 3","Endereço 3","Telefone 3",3,"Loja 3","Endereço 3","Cidade 3",2,"2022-08-30"
303,"Produto 303","Categoria 4",3030.0,4,"Fornecedor 4","Endereço 4","Telefone 4",4,"Loja 4","Endereço 4","Cidade 4",3,"2022-08-29"
304,"Produto 304","Categoria 5",3040.0,5,"Fornecedor 5","Endereço 5","Telefone 5",1,"Loja 1","Endereço 1","Cidade 1",4,"2022-08-28"
305,"Produto 305","Categoria 1",3050.0,6,"Fornecedor 6","Endereço 6","Telefone 6",2,"Loja 2","Endereço 2","Cidade 2",5,"2022-08-27"
306,"Produto 306","Categoria 2",3060.0,7,"Fornecedor 7","Endereço 7","Telefone 7",3,"Loja 3","Endereço 3","Cidade 3",6,"2022-08-26"
307,"Produto 307","Categoria 3",3070.0,8,"Fornecedor 8","Endereço 8","Telefone 8",4,"Loja 4","Endereço 4","Cidade 4",7,"2022-08-25"
308,"Produto 308","Categoria 4",3080.0,9,"Fornecedor 9","Endereço 9","Telefone 9",1,"Loja 1","Endereço 1","Cidade 1",8,"2022-08-24"
309,"Produto 309","Categoria 5",3090.0,10,"Fornecedor 10","Endereço 10","Telefone 10",2,"Loja 2","Endereço 2","Cidade 2",9,"2022-08-23"
310,"Produto 310","Categoria 1",3100.0,11,"Fornecedor 11","Endereço 1","Telefone 1",3,"Loja 3","Endereço 3","Cidade 3",10,"2022-08-22"
311,"Produto 311","Categoria 2",3110.0,12,"Fornecedor 12","Endereço 2","Telefone 2",4,"Loja 4","Endereço 4","Cidade 4",11,"2022-08-21"
312,"Produto 312","Categoria 3",3120.0,13,"Fornecedor 13","Endereço 3","Telefone 3",1,"Loja 1","Endereço 1","Cidade 1",12,"2022-08-20"
313,"Produto 313","Categoria 4",3130.0,14,"Fornecedor 14","Endereço 4","Telefone 4",2,"Loja 2","Endereço 2","Cidade 2",13,"2022-08-19"
314,"Produto 314","Categoria 5",3140.0,15,"Fornecedor 15","Endereço 5","Telefone 5",3,"Loja 3","Endereço 3","Cidade 3",14,"2022-08-18"
315,"Produto 315","Categoria 1",3150.0,16,"Fornecedor 16","Endereço 6","Telefone 6",4,"Loja 4","Endereço 4","Cidade 4",15,"2022-08-17"
316,"Produto 316","Categoria 2",3160.0,17,"Fornecedor 17","Endereço 7","Telefone 7",1,"Loja 1","Endereço 1","Cidade 1",16,"2022-08-16"
317,"Produto 317","Categoria 3",3170.0,18,"Fornecedor 18","Endereço 8","Telefone 8",2,"Loja 2","Endereço 2","Cidade 2",17,"2022-08-15"
318,"Produto 318","Categoria 4",3180.0,19,"Fornecedor 19","Endereço 9","Telefone 9",3,"Loja 3","Endereço 3","Cidade 3",18,"2022-08-14"
319,"Produto 319","Categoria 5",3190.0,20,"Fornecedor 20","Endereço 10","Telefone 10",4,"Loja 4","Endereço 4","Cidade 4",19,"2022-08-13"
320,"Produto 320","Categoria 1",3200.0,21,"Fornecedor 21","Endereço 1","Telefone 1",1,"Loja 1","Endereço 1","Cidade 1",20,"2022-08-12"
321,"Produto 321","Categoria 2",3210.0,22,"Fornecedor 22","Endereço 2","Telefone 2",2,"Loja 2","Endereço 2","Cidade 2",21,"2022-08-11"
322,"Produto 322","Categoria 3",3220.0,23,"Fornecedor 23","Endereço 3","Telefone 3",3,"Loja 3","Endereço 3","Cidade 3",22,"2022-08-10"
323,"Produto 323","Categoria 4",3230.0,24,"Fornecedor 24","Endereço 4","Telefone 4",4,"Loja 4","Endereço 4","Cidade 4",23,"2022-08-09"
324,"Produto 324","Categoria 5",3240.0,25,"Fornecedor 25","Endereço 5","Telefone 5",1,"Loja 1","Endereço 1","Cidade 1",24,"2022-08-08"
325,"Produto 325","Categoria 1",3250.0,26,"Fornecedor 26","Endereço 6","Telefone 6",2,"Loja 2","Endereço 2","Cidade 2",25,"2022-08-07"
326,"Produto 326","Categoria 2",3260.0,27,"Fornecedor 27","Endereço 7","Telefone 7",3,"Loja 3","Endereço 3","Cidade 3",26,"2022-08-06"
327,"Produto 327","Categoria 3",3270.0,28,"Fornecedor 28","Endereço 8","Telefone 8",4,"Loja 4","Endereço 4","Cidade 4",27,"2022-08-05"
328,"Produto 328","Categoria 4",3280.0,29,"Fornecedor 29","Endereço 9","Telefone 9",1,"Loja 1","Endereço 1","Cidade 1",28,"2022-08-04"
329,"Produto 329","Categoria 5",3290.0,30,"Fornecedor 30","Endereço 10","Telefone 10",2,"Loja 2","Endereço 2","Cidade 2",29,"2022-08-03"
330,"Produto 330","Categoria 1",3300.0,1,"Fornecedor 1","Endereço 1","Telefone 1",3,"Loja 3","Endereço 3","Cidade 3",30,"2022-08-02"
331,"Produto 331","Categoria 2",3310.0,2,"Fornecedor 2","Endereço 2","Telefone 2",4,"Loja 4","Endereço 4","Cidade 4",31,"2022-08-01"
332,"Produto 332","Categoria 3",3320.0,3,"Fornecedor 3","Endereço 3","Telefone 3",1,"Loja 1","Endereço 1","Cidade 1",32,"2022-07-31"
333,"Produto 333","Categoria 4",3330.0,4,"Fornecedor 4","Endereço 4","Telefone 4",2,"Loja 2","Endereço 2","Cidade 2",33,"2022-07-30"
334,"Produto 334","Categoria 5",3340.0,5,"Fornecedor 5","Endereço 5","Telefone 5",3,"Loja 3","Endereço 3","Cidade 3",34,"2022-07-29"
335,"Produto 335","Categoria 1",3350.0,6,"Fornecedor 6","Endereço 6","Telefone 6",4,"Loja 4","Endereço 4","Cidade 4",35,"2022-07-28"
336,"Produto 336","Categoria 2",3360.0,7,"Fornecedor 7","Endereço 7","Telefone 7",1,"Loja 1","Endereço 1","Cidade 1",36,"2022-07-27"
337,"Produto 337","Categoria 3",3370.0,8,"Fornecedor 8","Endereço 8","Telefone 8",2,"Loja 2","Endereço 2","Cidade 2",37,"2022-07-26"
338,"Produto 338","Categoria 4",3380.0,9,"Fornecedor 9","Endereço 9","Telefone 9",3,"Loja 3","Endereço 3","Cidade 3",38,"2022-07-25"
339,"Produto 339","Categoria 5",3390.0,10,"Fornecedor 10","Endereço 10","Telefone 10",4,"Loja 4","Endereço 4","Cidade 4",39,"2022-07-24"
340,"Produto 340","Categoria 1",3400.0,11,"Fornecedor 11","Endereço 1","Telefone 1",1,"Loja 1","Endereço 1","Cidade 1",40,"2022-07-23"
341,"Produto 341","Categoria 2",3410.0,12,"Fornecedor 12","Endereço 2","Telefone 2",2,"Loja 2","Endereço 2","Cidade 2",41,"2022-07-22"
342,"Produto 342","Categoria 3",3420.0,13,"Fornecedor 13","Endereço 3","Telefone 3",3,"Loja 3","Endereço 3","Cidade 3",42,"2022-07-21"
